,serial_id,役職no,役職名,役職名2,業種no,業種名,業種名2,従業員規模no,従業員規模,従業員規模2
77,1347957029.0,,,,,,,,,
78,7296274131.0,3.0,本部長クラス,2.本部長・部長,9.0,電気、電子機器,2.製造業,11.0,"20,000人以上",2.1000人以上
79,1933952621.0,7.0,一般社員,,23.0,公務員（教員を除く）,,11.0,"20,000人以上",2.1000人以上
80,76881126.0,4.0,部長クラス,2.本部長・部長,25.0,医療,,7.0,"1,000～2,999人",2.1000人以上
81,9737520731.0,7.0,一般社員,,19.0,情報処理、ＳＩ、ソフトウェア,,2.0,10～49人,
82,1909090908.0,1.0,経営者,1.経営者・役員,12.0,食品、医薬、化粧品,2.製造業,2.0,10～49人,
83,5913081449.0,9.0,契約社員,,22.0,放送・広告・出版・マスコミ,,2.0,10～49人,
84,2154913227.0,7.0,一般社員,,12.0,食品、医薬、化粧品,2.製造業,4.0,100～299人,
85,3205616729.0,1.0,経営者,1.経営者・役員,30.0,その他,,1.0,1～9人,
86,8306529440.0,5.0,課長クラス,3.課長,8.0,自動車、輸送機器,2.製造業,9.0,"5,000～9,999人",2.1000人以上
87,8022040939.0,7.0,一般社員,,26.0,介護・福祉,,9.0,"5,000～9,999人",2.1000人以上
88,9523679432.0,4.0,部長クラス,2.本部長・部長,9.0,電気、電子機器,2.製造業,11.0,"20,000人以上",2.1000人以上
89,7992128755.0,10.0,その他,,7.0,建設,,5.0,300～499人,1.300～999人
90,1679555004.0,6.0,主任／係長クラス,,12.0,食品、医薬、化粧品,2.製造業,9.0,"5,000～9,999人",2.1000人以上
91,4265332401.0,4.0,部長クラス,2.本部長・部長,9.0,電気、電子機器,2.製造業,7.0,"1,000～2,999人",2.1000人以上
92,2111235893.0,10.0,その他,,24.0,教育・教育学習支援関係,,7.0,"1,000～2,999人",2.1000人以上
93,4971754161.0,10.0,その他,,9.0,電気、電子機器,2.製造業,3.0,50～99人,
94,8708575370.0,4.0,部長クラス,2.本部長・部長,16.0,金融・証券・保険,1.金融・証券・保険,6.0,500～999人,1.300～999人
95,6706119577.0,1.0,経営者,1.経営者・役員,25.0,医療,,2.0,10～49人,
96,9787891078.0,7.0,一般社員,,15.0,卸売・小売業・商業（商社含む）,3.小売系,4.0,100～299人,
97,5900549003.0,2.0,役員クラス,1.経営者・役員,30.0,その他,,2.0,10～49人,
98,4263806383.0,6.0,主任／係長クラス,,20.0,運輸,3.小売系,9.0,"5,000～9,999人",2.1000人以上
99,7154390717.0,5.0,課長クラス,3.課長,10.0,機械、重電,2.製造業,7.0,"1,000～2,999人",2.1000人以上
100,3470220824.0,4.0,部長クラス,2.本部長・部長,9.0,電気、電子機器,2.製造業,4.0,100～299人,
101,3538757865.0,10.0,その他,,30.0,その他,,4.0,100～299人,
102,3527702307.0,2.0,役員クラス,1.経営者・役員,15.0,卸売・小売業・商業（商社含む）,3.小売系,4.0,100～299人,
103,4738568873.0,5.0,課長クラス,3.課長,13.0,その他製造,2.製造業,11.0,"20,000人以上",2.1000人以上
104,6923094032.0,6.0,主任／係長クラス,,24.0,教育・教育学習支援関係,,11.0,"20,000人以上",2.1000人以上
105,818776861.0,5.0,課長クラス,3.課長,9.0,電気、電子機器,2.製造業,11.0,"20,000人以上",2.1000人以上
106,6113218651.0,1.0,経営者,1.経営者・役員,12.0,食品、医薬、化粧品,2.製造業,1.0,1～9人,
107,5338693817.0,3.0,本部長クラス,2.本部長・部長,15.0,卸売・小売業・商業（商社含む）,3.小売系,4.0,100～299人,
108,7348117018.0,,,,,,,,,
109,4144895479.0,6.0,主任／係長クラス,,7.0,建設,,9.0,"5,000～9,999人",2.1000人以上
110,3659305367.0,5.0,課長クラス,3.課長,11.0,素材,2.製造業,8.0,"3,000～4,999人",2.1000人以上
111,4307662626.0,4.0,部長クラス,2.本部長・部長,12.0,食品、医薬、化粧品,2.製造業,9.0,"5,000～9,999人",2.1000人以上
112,8617331364.0,4.0,部長クラス,2.本部長・部長,13.0,その他製造,2.製造業,7.0,"1,000～2,999人",2.1000人以上
113,5774248106.0,1.0,経営者,1.経営者・役員,21.0,コンサル・会計・法律関連,,1.0,1～9人,
114,7015093785.0,7.0,一般社員,,7.0,建設,,3.0,50～99人,
115,8232587870.0,4.0,部長クラス,2.本部長・部長,16.0,金融・証券・保険,1.金融・証券・保険,11.0,"20,000人以上",2.1000人以上
116,4838296142.0,10.0,その他,,7.0,建設,,7.0,"1,000～2,999人",2.1000人以上
117,2956550988.0,7.0,一般社員,,23.0,公務員（教員を除く）,,7.0,"1,000～2,999人",2.1000人以上
118,5542591028.0,4.0,部長クラス,2.本部長・部長,19.0,情報処理、ＳＩ、ソフトウェア,,7.0,"1,000～2,999人",2.1000人以上
119,7986760330.0,1.0,経営者,1.経営者・役員,12.0,食品、医薬、化粧品,2.製造業,1.0,1～9人,
120,5874833954.0,1.0,経営者,1.経営者・役員,22.0,放送・広告・出版・マスコミ,,1.0,1～9人,
121,5375570278.0,5.0,課長クラス,3.課長,15.0,卸売・小売業・商業（商社含む）,3.小売系,11.0,"20,000人以上",2.1000人以上
122,7327531865.0,4.0,部長クラス,2.本部長・部長,12.0,食品、医薬、化粧品,2.製造業,11.0,"20,000人以上",2.1000人以上
123,8857534629.0,3.0,本部長クラス,2.本部長・部長,18.0,通信サービス,,9.0,"5,000～9,999人",2.1000人以上
124,4084920280.0,2.0,役員クラス,1.経営者・役員,10.0,機械、重電,2.製造業,11.0,"20,000人以上",2.1000人以上
125,8542930601.0,6.0,主任／係長クラス,,19.0,情報処理、ＳＩ、ソフトウェア,,9.0,"5,000～9,999人",2.1000人以上
126,1177732769.0,4.0,部長クラス,2.本部長・部長,7.0,建設,,7.0,"1,000～2,999人",2.1000人以上
127,3751727100.0,2.0,役員クラス,1.経営者・役員,19.0,情報処理、ＳＩ、ソフトウェア,,7.0,"1,000～2,999人",2.1000人以上
128,5396494900.0,7.0,一般社員,,20.0,運輸,3.小売系,6.0,500～999人,1.300～999人
129,4397816072.0,5.0,課長クラス,3.課長,8.0,自動車、輸送機器,2.製造業,9.0,"5,000～9,999人",2.1000人以上
130,2792715947.0,4.0,部長クラス,2.本部長・部長,15.0,卸売・小売業・商業（商社含む）,3.小売系,2.0,10～49人,
131,8635981696.0,5.0,課長クラス,3.課長,16.0,金融・証券・保険,1.金融・証券・保険,9.0,"5,000～9,999人",2.1000人以上
132,7440594155.0,1.0,経営者,1.経営者・役員,19.0,情報処理、ＳＩ、ソフトウェア,,1.0,1～9人,
133,5956921230.0,2.0,役員クラス,1.経営者・役員,12.0,食品、医薬、化粧品,2.製造業,3.0,50～99人,
134,6074980185.0,5.0,課長クラス,3.課長,16.0,金融・証券・保険,1.金融・証券・保険,5.0,300～499人,1.300～999人
135,8033169375.0,7.0,一般社員,,8.0,自動車、輸送機器,2.製造業,9.0,"5,000～9,999人",2.1000人以上
136,2690601233.0,7.0,一般社員,,7.0,建設,,11.0,"20,000人以上",2.1000人以上
137,1320384131.0,5.0,課長クラス,3.課長,20.0,運輸,3.小売系,7.0,"1,000～2,999人",2.1000人以上
138,8212162965.0,1.0,経営者,1.経営者・役員,6.0,農林水産・鉱業,,1.0,1～9人,
139,9769465676.0,4.0,部長クラス,2.本部長・部長,9.0,電気、電子機器,2.製造業,11.0,"20,000人以上",2.1000人以上
140,4564678043.0,5.0,課長クラス,3.課長,16.0,金融・証券・保険,1.金融・証券・保険,8.0,"3,000～4,999人",2.1000人以上
141,5868994676.0,4.0,部長クラス,2.本部長・部長,8.0,自動車、輸送機器,2.製造業,2.0,10～49人,
142,7828443560.0,10.0,その他,,24.0,教育・教育学習支援関係,,4.0,100～299人,
143,909758787.0,3.0,本部長クラス,2.本部長・部長,10.0,機械、重電,2.製造業,11.0,"20,000人以上",2.1000人以上
144,3875886453.0,6.0,主任／係長クラス,,9.0,電気、電子機器,2.製造業,7.0,"1,000～2,999人",2.1000人以上
145,4284107842.0,7.0,一般社員,,11.0,素材,2.製造業,4.0,100～299人,
146,3572032611.0,4.0,部長クラス,2.本部長・部長,12.0,食品、医薬、化粧品,2.製造業,7.0,"1,000～2,999人",2.1000人以上
147,9590837325.0,5.0,課長クラス,3.課長,16.0,金融・証券・保険,1.金融・証券・保険,11.0,"20,000人以上",2.1000人以上
148,2423249749.0,6.0,主任／係長クラス,,13.0,その他製造,2.製造業,9.0,"5,000～9,999人",2.1000人以上
149,7907647410.0,,,,,,,,,
150,1521086601.0,1.0,経営者,1.経営者・役員,13.0,その他製造,2.製造業,3.0,50～99人,
151,1224794767.0,1.0,経営者,1.経営者・役員,24.0,教育・教育学習支援関係,,2.0,10～49人,
152,6600286470.0,7.0,一般社員,,19.0,情報処理、ＳＩ、ソフトウェア,,9.0,"5,000～9,999人",2.1000人以上
153,5184089668.0,9.0,契約社員,,10.0,機械、重電,2.製造業,8.0,"3,000～4,999人",2.1000人以上
154,5404466101.0,5.0,課長クラス,3.課長,10.0,機械、重電,2.製造業,8.0,"3,000～4,999人",2.1000人以上
155,4159028465.0,5.0,課長クラス,3.課長,9.0,電気、電子機器,2.製造業,9.0,"5,000～9,999人",2.1000人以上
156,273856156.0,1.0,経営者,1.経営者・役員,30.0,その他,,4.0,100～299人,
157,8527694149.0,5.0,課長クラス,3.課長,10.0,機械、重電,2.製造業,8.0,"3,000～4,999人",2.1000人以上
158,8856924665.0,7.0,一般社員,,8.0,自動車、輸送機器,2.製造業,11.0,"20,000人以上",2.1000人以上
159,5579227974.0,1.0,経営者,1.経営者・役員,21.0,コンサル・会計・法律関連,,1.0,1～9人,
160,4577556678.0,1.0,経営者,1.経営者・役員,17.0,不動産,,1.0,1～9人,
161,9076453491.0,6.0,主任／係長クラス,,14.0,エネルギー,,11.0,"20,000人以上",2.1000人以上
162,5725734361.0,2.0,役員クラス,1.経営者・役員,19.0,情報処理、ＳＩ、ソフトウェア,,4.0,100～299人,
163,2984926541.0,,,,,,,,,
164,7602085847.0,10.0,その他,,16.0,金融・証券・保険,1.金融・証券・保険,11.0,"20,000人以上",2.1000人以上
165,4390032487.0,4.0,部長クラス,2.本部長・部長,30.0,その他,,2.0,10～49人,
166,7388081391.0,1.0,経営者,1.経営者・役員,30.0,その他,,1.0,1～9人,
167,4509954053.0,7.0,一般社員,,16.0,金融・証券・保険,1.金融・証券・保険,11.0,"20,000人以上",2.1000人以上
168,4110901709.0,5.0,課長クラス,3.課長,16.0,金融・証券・保険,1.金融・証券・保険,7.0,"1,000～2,999人",2.1000人以上
169,6562135583.0,1.0,経営者,1.経営者・役員,25.0,医療,,1.0,1～9人,
170,4769319431.0,6.0,主任／係長クラス,,23.0,公務員（教員を除く）,,7.0,"1,000～2,999人",2.1000人以上
171,3296588710.0,,,,,,,,,
172,5611244508.0,2.0,役員クラス,1.経営者・役員,9.0,電気、電子機器,2.製造業,8.0,"3,000～4,999人",2.1000人以上
173,7539553006.0,5.0,課長クラス,3.課長,16.0,金融・証券・保険,1.金融・証券・保険,8.0,"3,000～4,999人",2.1000人以上
174,7901209653.0,10.0,その他,,12.0,食品、医薬、化粧品,2.製造業,9.0,"5,000～9,999人",2.1000人以上
175,4664413445.0,,,,,,,,,
176,7734622481.0,5.0,課長クラス,3.課長,15.0,卸売・小売業・商業（商社含む）,3.小売系,10.0,"10,000～19,999人",2.1000人以上
177,5901076407.0,,,,,,,,,
178,7891584868.0,5.0,課長クラス,3.課長,7.0,建設,,7.0,"1,000～2,999人",2.1000人以上
179,9311795394.0,2.0,役員クラス,1.経営者・役員,16.0,金融・証券・保険,1.金融・証券・保険,8.0,"3,000～4,999人",2.1000人以上
180,2990973726.0,5.0,課長クラス,3.課長,13.0,その他製造,2.製造業,8.0,"3,000～4,999人",2.1000人以上
181,685042801.0,4.0,部長クラス,2.本部長・部長,7.0,建設,,10.0,"10,000～19,999人",2.1000人以上
182,8963640501.0,10.0,その他,,23.0,公務員（教員を除く）,,11.0,"20,000人以上",2.1000人以上
183,7374801338.0,4.0,部長クラス,2.本部長・部長,8.0,自動車、輸送機器,2.製造業,6.0,500～999人,1.300～999人
184,3257583721.0,1.0,経営者,1.経営者・役員,30.0,その他,,1.0,1～9人,
185,8360298958.0,1.0,経営者,1.経営者・役員,17.0,不動産,,1.0,1～9人,
186,4087857921.0,4.0,部長クラス,2.本部長・部長,9.0,電気、電子機器,2.製造業,9.0,"5,000～9,999人",2.1000人以上
187,588206642.0,5.0,課長クラス,3.課長,13.0,その他製造,2.製造業,6.0,500～999人,1.300～999人
188,4874438903.0,8.0,派遣社員,,19.0,情報処理、ＳＩ、ソフトウェア,,7.0,"1,000～2,999人",2.1000人以上
189,4122406839.0,10.0,その他,,30.0,その他,,1.0,1～9人,
190,5540116145.0,2.0,役員クラス,1.経営者・役員,16.0,金融・証券・保険,1.金融・証券・保険,9.0,"5,000～9,999人",2.1000人以上
191,9023556258.0,2.0,役員クラス,1.経営者・役員,30.0,その他,,3.0,50～99人,
192,3393451592.0,5.0,課長クラス,3.課長,15.0,卸売・小売業・商業（商社含む）,3.小売系,11.0,"20,000人以上",2.1000人以上
193,4554958587.0,4.0,部長クラス,2.本部長・部長,16.0,金融・証券・保険,1.金融・証券・保険,4.0,100～299人,
194,8852210433.0,2.0,役員クラス,1.経営者・役員,16.0,金融・証券・保険,1.金融・証券・保険,11.0,"20,000人以上",2.1000人以上
195,378999861.0,7.0,一般社員,,8.0,自動車、輸送機器,2.製造業,6.0,500～999人,1.300～999人
196,1049765957.0,4.0,部長クラス,2.本部長・部長,19.0,情報処理、ＳＩ、ソフトウェア,,4.0,100～299人,
197,9191670770.0,4.0,部長クラス,2.本部長・部長,15.0,卸売・小売業・商業（商社含む）,3.小売系,11.0,"20,000人以上",2.1000人以上
198,9811141964.0,4.0,部長クラス,2.本部長・部長,21.0,コンサル・会計・法律関連,,6.0,500～999人,1.300～999人
199,7829500037.0,2.0,役員クラス,1.経営者・役員,25.0,医療,,7.0,"1,000～2,999人",2.1000人以上
200,6635322325.0,9.0,契約社員,,12.0,食品、医薬、化粧品,2.製造業,7.0,"1,000～2,999人",2.1000人以上
201,2613641143.0,8.0,派遣社員,,30.0,その他,,6.0,500～999人,1.300～999人
202,1353045007.0,1.0,経営者,1.経営者・役員,17.0,不動産,,1.0,1～9人,
203,4923617983.0,,,,,,,,,
204,8851187071.0,5.0,課長クラス,3.課長,15.0,卸売・小売業・商業（商社含む）,3.小売系,7.0,"1,000～2,999人",2.1000人以上
205,1553139932.0,5.0,課長クラス,3.課長,16.0,金融・証券・保険,1.金融・証券・保険,7.0,"1,000～2,999人",2.1000人以上
206,7723927410.0,7.0,一般社員,,15.0,卸売・小売業・商業（商社含む）,3.小売系,4.0,100～299人,
207,3903521699.0,7.0,一般社員,,12.0,食品、医薬、化粧品,2.製造業,7.0,"1,000～2,999人",2.1000人以上
208,7748161960.0,1.0,経営者,1.経営者・役員,30.0,その他,,1.0,1～9人,
209,1726841619.0,,,,,,,,,
210,6380567662.0,5.0,課長クラス,3.課長,24.0,教育・教育学習支援関係,,6.0,500～999人,1.300～999人
211,4191791595.0,5.0,課長クラス,3.課長,16.0,金融・証券・保険,1.金融・証券・保険,7.0,"1,000～2,999人",2.1000人以上
212,3791987534.0,2.0,役員クラス,1.経営者・役員,25.0,医療,,1.0,1～9人,
213,3215283935.0,5.0,課長クラス,3.課長,16.0,金融・証券・保険,1.金融・証券・保険,11.0,"20,000人以上",2.1000人以上
214,4013572088.0,2.0,役員クラス,1.経営者・役員,13.0,その他製造,2.製造業,9.0,"5,000～9,999人",2.1000人以上
215,2300601914.0,7.0,一般社員,,30.0,その他,,4.0,100～299人,
216,2988991666.0,4.0,部長クラス,2.本部長・部長,12.0,食品、医薬、化粧品,2.製造業,9.0,"5,000～9,999人",2.1000人以上
217,6290273242.0,1.0,経営者,1.経営者・役員,25.0,医療,,1.0,1～9人,
218,5944741546.0,10.0,その他,,24.0,教育・教育学習支援関係,,4.0,100～299人,
219,9674942178.0,3.0,本部長クラス,2.本部長・部長,19.0,情報処理、ＳＩ、ソフトウェア,,2.0,10～49人,
220,4881754491.0,4.0,部長クラス,2.本部長・部長,19.0,情報処理、ＳＩ、ソフトウェア,,11.0,"20,000人以上",2.1000人以上
221,97329453.0,5.0,課長クラス,3.課長,18.0,通信サービス,,6.0,500～999人,1.300～999人
222,3120326479.0,2.0,役員クラス,1.経営者・役員,7.0,建設,,2.0,10～49人,
223,6566842134.0,2.0,役員クラス,1.経営者・役員,19.0,情報処理、ＳＩ、ソフトウェア,,1.0,1～9人,
224,7896432910.0,,,,,,,,,
225,137466016.0,5.0,課長クラス,3.課長,18.0,通信サービス,,10.0,"10,000～19,999人",2.1000人以上
226,1235419457.0,1.0,経営者,1.経営者・役員,16.0,金融・証券・保険,1.金融・証券・保険,1.0,1～9人,
227,7985007226.0,10.0,その他,,30.0,その他,,1.0,1～9人,
228,8337066151.0,10.0,その他,,30.0,その他,,1.0,1～9人,
229,7059053204.0,6.0,主任／係長クラス,,16.0,金融・証券・保険,1.金融・証券・保険,8.0,"3,000～4,999人",2.1000人以上
230,2451674711.0,2.0,役員クラス,1.経営者・役員,13.0,その他製造,2.製造業,3.0,50～99人,
231,8028939372.0,7.0,一般社員,,19.0,情報処理、ＳＩ、ソフトウェア,,3.0,50～99人,
232,8835636334.0,10.0,その他,,24.0,教育・教育学習支援関係,,7.0,"1,000～2,999人",2.1000人以上
233,8118125361.0,10.0,その他,,7.0,建設,,3.0,50～99人,
234,2159888914.0,7.0,一般社員,,23.0,公務員（教員を除く）,,8.0,"3,000～4,999人",2.1000人以上
235,9860495098.0,1.0,経営者,1.経営者・役員,15.0,卸売・小売業・商業（商社含む）,3.小売系,4.0,100～299人,
236,7533624310.0,4.0,部長クラス,2.本部長・部長,16.0,金融・証券・保険,1.金融・証券・保険,7.0,"1,000～2,999人",2.1000人以上
237,5971261672.0,,,,,,,,,
238,4134143748.0,5.0,課長クラス,3.課長,11.0,素材,2.製造業,10.0,"10,000～19,999人",2.1000人以上
239,4137946624.0,5.0,課長クラス,3.課長,16.0,金融・証券・保険,1.金融・証券・保険,7.0,"1,000～2,999人",2.1000人以上
240,3175874327.0,5.0,課長クラス,3.課長,7.0,建設,,3.0,50～99人,
241,7345601013.0,7.0,一般社員,,20.0,運輸,3.小売系,11.0,"20,000人以上",2.1000人以上
242,8898918267.0,10.0,その他,,21.0,コンサル・会計・法律関連,,1.0,1～9人,
243,5299212579.0,,,,,,,,,
244,6568105786.0,1.0,経営者,1.経営者・役員,7.0,建設,,1.0,1～9人,
245,1433790328.0,4.0,部長クラス,2.本部長・部長,19.0,情報処理、ＳＩ、ソフトウェア,,9.0,"5,000～9,999人",2.1000人以上
246,5368255121.0,4.0,部長クラス,2.本部長・部長,9.0,電気、電子機器,2.製造業,11.0,"20,000人以上",2.1000人以上
247,90148683.0,4.0,部長クラス,2.本部長・部長,10.0,機械、重電,2.製造業,11.0,"20,000人以上",2.1000人以上
248,1966070405.0,7.0,一般社員,,16.0,金融・証券・保険,1.金融・証券・保険,3.0,50～99人,
